http://stats.espncricinfo.com/ci/engine/player/267192.html?class=1;template=results;type=allround;view=innings
innings,score,overs,conceded,wickets,catches,stumpings,opposition,ground,start_date,test_no,
1,1,-,-,-,-,-,v Pakistan,Lord's,13/07/2010,Test # 1963,
2,-,DNB,-,-,1,0,v Pakistan,Lord's,13/07/2010,Test # 1963,
3,12,-,-,-,-,-,v Pakistan,Lord's,13/07/2010,Test # 1963,
4,-,21,51,3,0,0,v Pakistan,Lord's,13/07/2010,Test # 1963,
1,10,-,-,-,-,-,v Pakistan,Leeds,21/07/2010,Test # 1965,
2,-,1,7,0,0,0,v Pakistan,Leeds,21/07/2010,Test # 1965,
3,77,-,-,-,-,-,v Pakistan,Leeds,21/07/2010,Test # 1965,
4,-,9,24,0,0,0,v Pakistan,Leeds,21/07/2010,Test # 1965,
1,7,-,-,-,-,-,v England,Perth,16/12/2010,Test # 1984,
2,-,DNB,-,-,0,0,v England,Perth,16/12/2010,Test # 1984,
3,36,-,-,-,-,-,v England,Perth,16/12/2010,Test # 1984,
4,-,DNB,-,-,2,0,v England,Perth,16/12/2010,Test # 1984,
1,6,-,-,-,-,-,v England,Melbourne,26/12/2010,Test # 1986,
2,-,18,71,0,0,0,v England,Melbourne,26/12/2010,Test # 1986,
3,38,-,-,-,-,-,v England,Melbourne,26/12/2010,Test # 1986,
1,18,-,-,-,-,-,v England,Sydney,3/01/2011,Test # 1989,
2,-,13,67,0,0,0,v England,Sydney,3/01/2011,Test # 1989,
3,54*,-,-,-,-,-,v England,Sydney,3/01/2011,Test # 1989,
1,92,-,-,-,-,-,v India,Mohali,14/03/2013,Test # 2081,
2,-,10,63,1,0,0,v India,Mohali,14/03/2013,Test # 2081,
3,5,-,-,-,-,-,v India,Mohali,14/03/2013,Test # 2081,
4,-,DNB,-,-,0,0,v India,Mohali,14/03/2013,Test # 2081,
1,46,-,-,-,-,-,v India,Delhi,22/03/2013,Test # 2085,
2,-,DNB,-,-,1,0,v India,Delhi,22/03/2013,Test # 2085,
3,18,-,-,-,-,-,v India,Delhi,22/03/2013,Test # 2085,
4,-,DNB,-,-,0,0,v India,Delhi,22/03/2013,Test # 2085,
1,-,DNB,-,-,0,0,v England,Nottingham,10/07/2013,Test # 2090,
2,53,-,-,-,-,-,v England,Nottingham,10/07/2013,Test # 2090,
3,-,DNB,-,-,0,0,v England,Nottingham,10/07/2013,Test # 2090,
4,17,-,-,-,-,-,v England,Nottingham,10/07/2013,Test # 2090,
1,-,6,18,3,1,0,v England,Lord's,18/07/2013,Test # 2091,
2,2,-,-,-,-,-,v England,Lord's,18/07/2013,Test # 2091,
3,-,14,65,1,1,0,v England,Lord's,18/07/2013,Test # 2091,
4,1,-,-,-,-,-,v England,Lord's,18/07/2013,Test # 2091,
1,89,-,-,-,-,-,v England,Manchester,1/08/2013,Test # 2092,
2,-,2,6,0,0,0,v England,Manchester,1/08/2013,Test # 2092,
3,19,-,-,-,-,-,v England,Manchester,1/08/2013,Test # 2092,
4,-,DNB,-,-,0,0,v England,Manchester,1/08/2013,Test # 2092,
1,-,DNB,-,-,0,0,v England,Chester-le-Street,9/08/2013,Test # 2093,
2,17,-,-,-,-,-,v England,Chester-le-Street,9/08/2013,Test # 2093,
3,-,1,1,0,1,0,v England,Chester-le-Street,9/08/2013,Test # 2093,
4,2,-,-,-,-,-,v England,Chester-le-Street,9/08/2013,Test # 2093,
1,138*,-,-,-,-,-,v England,The Oval,21/08/2013,Test # 2094,
2,-,8,16,0,0,0,v England,The Oval,21/08/2013,Test # 2094,
3,7,-,-,-,-,-,v England,The Oval,21/08/2013,Test # 2094,
4,-,DNB,-,-,0,0,v England,The Oval,21/08/2013,Test # 2094,
1,31,-,-,-,-,-,v England,Brisbane,21/11/2013,Test # 2103,
2,-,DNB,-,-,3,0,v England,Brisbane,21/11/2013,Test # 2103,
3,0,-,-,-,-,-,v England,Brisbane,21/11/2013,Test # 2103,
4,-,4,15,0,1,0,v England,Brisbane,21/11/2013,Test # 2103,
1,6,-,-,-,-,-,v England,Adelaide,5/12/2013,Test # 2105,
2,-,DNB,-,-,0,0,v England,Adelaide,5/12/2013,Test # 2105,
3,23*,-,-,-,-,-,v England,Adelaide,5/12/2013,Test # 2105,
4,-,7,43,1,0,0,v England,Adelaide,5/12/2013,Test # 2105,
1,111,-,-,-,-,-,v England,Perth,13/12/2013,Test # 2107,
2,-,DNB,-,-,0,0,v England,Perth,13/12/2013,Test # 2107,
3,15,-,-,-,-,-,v England,Perth,13/12/2013,Test # 2107,
4,-,DNB,-,-,1,0,v England,Perth,13/12/2013,Test # 2107,
1,-,DNB,-,-,0,0,v England,Melbourne,26/12/2013,Test # 2110,
2,19,-,-,-,-,-,v England,Melbourne,26/12/2013,Test # 2110,
3,-,DNB,-,-,1,0,v England,Melbourne,26/12/2013,Test # 2110,
4,DNB,-,-,-,-,-,v England,Melbourne,26/12/2013,Test # 2110,
1,115,-,-,-,-,-,v England,Sydney,3/01/2014,Test # 2113,
2,-,DNB,-,-,1,0,v England,Sydney,3/01/2014,Test # 2113,
3,7,-,-,-,-,-,v England,Sydney,3/01/2014,Test # 2113,
4,-,DNB,-,-,0,0,v England,Sydney,3/01/2014,Test # 2113,
1,100,-,-,-,-,-,v South Africa,Centurion,12/02/2014,Test # 2119,
2,-,DNB,-,-,0,0,v South Africa,Centurion,12/02/2014,Test # 2119,
3,DNB,-,-,-,-,-,v South Africa,Centurion,12/02/2014,Test # 2119,
4,-,DNB,-,-,1,0,v South Africa,Centurion,12/02/2014,Test # 2119,
1,-,8,30,1,1,0,v South Africa,Port Elizabeth,20/02/2014,Test # 2121,
2,49,-,-,-,-,-,v South Africa,Port Elizabeth,20/02/2014,Test # 2121,
3,-,DNB,-,-,0,0,v South Africa,Port Elizabeth,20/02/2014,Test # 2121,
4,0,-,-,-,-,-,v South Africa,Port Elizabeth,20/02/2014,Test # 2121,
1,84,-,-,-,-,-,v South Africa,Cape Town,1/03/2014,Test # 2122,
2,-,2,7,0,0,0,v South Africa,Cape Town,1/03/2014,Test # 2122,
3,36*,-,-,-,-,-,v South Africa,Cape Town,1/03/2014,Test # 2122,
4,-,13,43,1,0,0,v South Africa,Cape Town,1/03/2014,Test # 2122,
1,-,6,50,1,0,0,v Pakistan,Dubai (DSC),22/10/2014,Test # 2140,
2,22,-,-,-,-,-,v Pakistan,Dubai (DSC),22/10/2014,Test # 2140,
3,-,DNB,-,-,0,0,v Pakistan,Dubai (DSC),22/10/2014,Test # 2140,
4,55,-,-,-,-,-,v Pakistan,Dubai (DSC),22/10/2014,Test # 2140,
1,-,10,41,1,1,0,v Pakistan,Abu Dhabi,30/10/2014,Test # 2142,
2,0,-,-,-,-,-,v Pakistan,Abu Dhabi,30/10/2014,Test # 2142,
3,-,6,54,1,0,0,v Pakistan,Abu Dhabi,30/10/2014,Test # 2142,
4,97,-,-,-,-,-,v Pakistan,Abu Dhabi,30/10/2014,Test # 2142,
1,162*,-,-,-,-,-,v India,Adelaide,9/12/2014,Test # 2148,
2,-,3,19,0,1,0,v India,Adelaide,9/12/2014,Test # 2148,
3,52*,-,-,-,-,-,v India,Adelaide,9/12/2014,Test # 2148,
4,-,3,18,0,0,0,v India,Adelaide,9/12/2014,Test # 2148,
1,-,1,4,0,1,0,v India,Brisbane,17/12/2014,Test # 2149,
2,133,-,-,-,-,-,v India,Brisbane,17/12/2014,Test # 2149,
3,-,DNB,-,-,0,0,v India,Brisbane,17/12/2014,Test # 2149,
4,28,-,-,-,-,-,v India,Brisbane,17/12/2014,Test # 2149,
1,192,-,-,-,-,-,v India,Melbourne,26/12/2014,Test # 2152,
2,-,2,11,0,2,0,v India,Melbourne,26/12/2014,Test # 2152,
3,14,-,-,-,-,-,v India,Melbourne,26/12/2014,Test # 2152,
4,-,2,10,0,0,0,v India,Melbourne,26/12/2014,Test # 2152,
1,117,-,-,-,-,-,v India,Sydney,6/01/2015,Test # 2156,
2,-,4,17,0,1,0,v India,Sydney,6/01/2015,Test # 2156,
3,71,-,-,-,-,-,v India,Sydney,6/01/2015,Test # 2156,
4,-,2,7,0,1,0,v India,Sydney,6/01/2015,Test # 2156,
1,-,1,2,1,0,0,v West Indies,Roseau,3/06/2015,Test # 2164,
2,25,-,-,-,-,-,v West Indies,Roseau,3/06/2015,Test # 2164,
3,-,2,16,0,0,0,v West Indies,Roseau,3/06/2015,Test # 2164,
4,5*,-,-,-,-,-,v West Indies,Roseau,3/06/2015,Test # 2164,
1,199,-,-,-,-,-,v West Indies,Kingston,11/06/2015,Test # 2166,
2,-,DNB,-,-,0,0,v West Indies,Kingston,11/06/2015,Test # 2166,
3,54*,-,-,-,-,-,v West Indies,Kingston,11/06/2015,Test # 2166,
4,-,DNB,-,-,1,0,v West Indies,Kingston,11/06/2015,Test # 2166,
1,-,DNB,-,-,0,0,v England,Cardiff,8/07/2015,Test # 2170,
2,33,-,-,-,-,-,v England,Cardiff,8/07/2015,Test # 2170,
3,-,DNB,-,-,0,0,v England,Cardiff,8/07/2015,Test # 2170,
4,33,-,-,-,-,-,v England,Cardiff,8/07/2015,Test # 2170,
1,215,-,-,-,-,-,v England,Lord's,16/07/2015,Test # 2171,
2,-,2,9,0,0,0,v England,Lord's,16/07/2015,Test # 2171,
3,58,-,-,-,-,-,v England,Lord's,16/07/2015,Test # 2171,
4,-,DNB,-,-,0,0,v England,Lord's,16/07/2015,Test # 2171,
1,7,-,-,-,-,-,v England,Birmingham,29/07/2015,Test # 2173,
2,-,DNB,-,-,0,0,v England,Birmingham,29/07/2015,Test # 2173,
3,8,-,-,-,-,-,v England,Birmingham,29/07/2015,Test # 2173,
4,-,DNB,-,-,0,0,v England,Birmingham,29/07/2015,Test # 2173,
1,6,-,-,-,-,-,v England,Nottingham,6/08/2015,Test # 2175,
2,-,DNB,-,-,1,0,v England,Nottingham,6/08/2015,Test # 2175,
3,5,-,-,-,-,-,v England,Nottingham,6/08/2015,Test # 2175,
1,143,-,-,-,-,-,v England,The Oval,20/08/2015,Test # 2178,
2,-,DNB,-,-,0,0,v England,The Oval,20/08/2015,Test # 2178,
3,-,1,7,1,0,0,v England,The Oval,20/08/2015,Test # 2178,
1,48,-,-,-,-,-,v New Zealand,Brisbane,5/11/2015,Test # 2185,
2,-,DNB,-,-,1,0,v New Zealand,Brisbane,5/11/2015,Test # 2185,
3,1,-,-,-,-,-,v New Zealand,Brisbane,5/11/2015,Test # 2185,
4,-,DNB,-,-,3,0,v New Zealand,Brisbane,5/11/2015,Test # 2185,
1,27,-,-,-,-,-,v New Zealand,Perth,13/11/2015,Test # 2187,
2,-,4,16,0,1,0,v New Zealand,Perth,13/11/2015,Test # 2187,
3,138,-,-,-,-,-,v New Zealand,Perth,13/11/2015,Test # 2187,
4,-,DNB,-,-,0,0,v New Zealand,Perth,13/11/2015,Test # 2187,
1,-,2,3,0,1,0,v New Zealand,Adelaide,27/11/2015,Test # 2190,
2,53,-,-,-,-,-,v New Zealand,Adelaide,27/11/2015,Test # 2190,
3,-,DNB,-,-,1,0,v New Zealand,Adelaide,27/11/2015,Test # 2190,
4,14,-,-,-,-,-,v New Zealand,Adelaide,27/11/2015,Test # 2190,
1,10,-,-,-,-,-,v West Indies,Hobart,10/12/2015,Test # 2193,
2,-,DNB,-,-,1,0,v West Indies,Hobart,10/12/2015,Test # 2193,
3,-,DNB,-,-,1,0,v West Indies,Hobart,10/12/2015,Test # 2193,
1,134*,-,-,-,-,-,v West Indies,Melbourne,26/12/2015,Test # 2195,
2,-,3,21,0,1,0,v West Indies,Melbourne,26/12/2015,Test # 2195,
3,70*,-,-,-,-,-,v West Indies,Melbourne,26/12/2015,Test # 2195,
4,-,2,5,0,1,0,v West Indies,Melbourne,26/12/2015,Test # 2195,
1,-,DNB,-,-,2,0,v West Indies,Sydney,3/01/2016,Test # 2198,
2,DNB,-,-,-,-,-,v West Indies,Sydney,3/01/2016,Test # 2198,
1,-,DNB,-,-,1,0,v New Zealand,Wellington,12/02/2016,Test # 2201,
2,71,-,-,-,-,-,v New Zealand,Wellington,12/02/2016,Test # 2201,
3,-,DNB,-,-,0,0,v New Zealand,Wellington,12/02/2016,Test # 2201,
1,-,DNB,-,-,2,0,v New Zealand,Christchurch,20/02/2016,Test # 2202,
2,138,-,-,-,-,-,v New Zealand,Christchurch,20/02/2016,Test # 2202,
3,-,DNB,-,-,2,0,v New Zealand,Christchurch,20/02/2016,Test # 2202,
4,53*,-,-,-,-,-,v New Zealand,Christchurch,20/02/2016,Test # 2202,
1,-,DNB,-,-,2,0,v Sri Lanka,Pallekele,26/07/2016,Test # 2209,
2,30,-,-,-,-,-,v Sri Lanka,Pallekele,26/07/2016,Test # 2209,
3,-,1,1,0,0,0,v Sri Lanka,Pallekele,26/07/2016,Test # 2209,
4,55,-,-,-,-,-,v Sri Lanka,Pallekele,26/07/2016,Test # 2209,
1,-,DNB,-,-,1,0,v Sri Lanka,Galle,4/08/2016,Test # 2213,
2,5,-,-,-,-,-,v Sri Lanka,Galle,4/08/2016,Test # 2213,
3,-,4,13,0,1,0,v Sri Lanka,Galle,4/08/2016,Test # 2213,
4,30,-,-,-,-,-,v Sri Lanka,Galle,4/08/2016,Test # 2213,
1,-,1,5,0,3,0,v Sri Lanka,Colombo (SSC),13/08/2016,Test # 2217,
2,119,-,-,-,-,-,v Sri Lanka,Colombo (SSC),13/08/2016,Test # 2217,
3,-,2,13,0,3,0,v Sri Lanka,Colombo (SSC),13/08/2016,Test # 2217,
4,8,-,-,-,-,-,v Sri Lanka,Colombo (SSC),13/08/2016,Test # 2217,
1,-,DNB,-,-,1,0,v South Africa,Perth,3/11/2016,Test # 2230,
2,0,-,-,-,-,-,v South Africa,Perth,3/11/2016,Test # 2230,
3,-,1.1,3,1,0,0,v South Africa,Perth,3/11/2016,Test # 2230,
4,34,-,-,-,-,-,v South Africa,Perth,3/11/2016,Test # 2230,
1,48*,-,-,-,-,-,v South Africa,Hobart,12/11/2016,Test # 2233,
2,-,1,5,0,1,0,v South Africa,Hobart,12/11/2016,Test # 2233,
3,31,-,-,-,-,-,v South Africa,Hobart,12/11/2016,Test # 2233,
1,-,DNB,-,-,1,0,v South Africa,Adelaide,24/11/2016,Test # 2236,
2,59,-,-,-,-,-,v South Africa,Adelaide,24/11/2016,Test # 2236,
3,-,DNB,-,-,2,0,v South Africa,Adelaide,24/11/2016,Test # 2236,
4,40,-,-,-,-,-,v South Africa,Adelaide,24/11/2016,Test # 2236,
1,130,-,-,-,-,-,v Pakistan,Brisbane,15/12/2016,Test # 2240,
2,-,DNB,-,-,1,0,v Pakistan,Brisbane,15/12/2016,Test # 2240,
3,63,-,-,-,-,-,v Pakistan,Brisbane,15/12/2016,Test # 2240,
4,-,DNB,-,-,3,0,v Pakistan,Brisbane,15/12/2016,Test # 2240,
